AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,SUBDIV,ROADCOND,VIDEOT,VIDEOU,
K,14,11,ATK ,135318,,,    ,          ,14,11,CSX ,138022,,1,628094S,14,11,21,10,24,AM,WEST PALM BEACH     ,PALM BEACH          ,12,3,,                    ,YOUTH CAMP X-ING    ,25,A,3,3,1,1,1,4,72,2,2,2,1,SINGLE MAIN TRACK   ,4,2,11,79,E,1, ,1,2,2,2,1,2,8,10000,3,1,0,1,1,2,1,6,,0,  ,7,111,,2014,                    ,N,99,12C099,4,,,, , ,51,2,180,                    ,                    ,0,1,0,0,0,0,"TRAIN 98 OPERATING WITH LOCOMOTIVES E/142-E/82 AND 11 CARS CLIPPED A VEHICLE AT MP SX953.3, A PRIVAT",E CROSSING.,,,,AUBURNDALE          ,A,2,2,
,14,8,SFRV,82714,,,    ,          ,14,8,CSX ,XXX       ,,2,628168G,14,8,27,7,7,PM,POMPANO BEACH       ,BROWARD             ,12,3,,DEERFIELD BEACH     ,NW 48TH STREET,15,D,4,3,1,1,1,4,88,3,1,3,1,MAIN LINE 1,4,1,3,62,R,2,1,1,2,3,2,2,7,8,10000,2,1,0,2,2,2,1,6,,0,  ,10203060711,327,,2014,                    ,Y,11,12C011,4,,,, , ,55,1,134,                    ,                    ,0,2,0,0,0,0,SOUTHBOUND COMMUTER TRAIN STRUCK A PICKUP AFTER IT WAS DRIVEN THROUGH THE CROSSING GATE INTO THE PAT,H OF THE TRAIN. BOTH DRIVER AND PASSENGER WERE TRANSPORTED TO HOSPITAL FOR TREATMENT. DRIVER FLED TH,E HOSPITAL PRIOR TO TREATMENT. PASSENGER SUSTAINED DEEP CUTS TO THE HEAD AND A FRACTURED NECK.  #32,INCLUDES PAVEMENT MARKINGS.,,MIAMI               ,A,1,1,
K,14,9,ATK ,134335,,,    ,          ,14,9,CSX ,134598,,1,628282G,14,9,4,8,35,AM,MIAMI               ,BROWARD             ,12,3,,HOLLYWOOD           ,PEMBROKE ROAD       ,0,A,3,2,1,1,1,4,80,2,1,2,1,MAIN 1,3,2,10,30,E,1,1,1,1,2,2,2,4,8,5000,2,1,0,1,1,2,1,6,,0,  ,102030607,153,,2014,                    ,Y,11,12C011,4,,,, , ,50,2,40,                    ,                    ,0,1,0,0,0,0,"TRAIN 98 OPERATING WITH LOCOMOTIVES E/85-E/71 AND 10 CARS STRUCK AN OCCUPIED VEHICLE AT MP 1020.85,",PEMBROKE RD CROSSING.  THERE WAS NO EQUIPMENT DAMAGE.,,,,MIAMI               ,A,1,2,
,14,8,CSX ,133305,,,    ,          ,14,8,CSX ,133305,,1,626919P,14,8,10,5,37,PM,TAMPA               ,HILLSBOROUGH        ,12,3,,TAMPA               ,FRANK ADAMO DR      ,40,A,4,3,1,40,2,2,85,2,1,1,1,SINGLE MAIN         ,1,2,82,5,E,2,1,1,2,1,2,2,5,8,6500,2,1,0,1,1,2,1,1,,0,  ,1020611,335,,2014,                    ,Y,57,12C057,4,,,, , ,25,2,2,                    ,                    ,0,1,0,0,0,0,AUTOMOBILE DRIVER IS BELIEVED TO HAVE SUFFERED MEDICAL CONDITION WHICH CAUSED HER TO DIVERT FROM THE, WESTBOUND LANES OF TRAVEL AND VENTURE INTO THE EASTBOUND LANES AND RUN INTO THE LOADED ETHANOL TRAI,"N, FORTY CARS FROM THE LEAD ENGINES. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKI",NGS (STOP LINES & RR XING SYMBOLS).,,TAMPA TERMINAL      ,A,2,2,
K,14,3,ATK ,132128,,,    ,          ,14,3,UP  ,0314RS021,,0,751292W,14,3,22,9,44,PM,SUISUN-FAIRFIELD    ,SOLANO              ,6,7,,FAIRFIELD           ,PEABODY RD          ,25,A,2,3,1,1,2,4,60,4,1,2,1,MAIN 2,4,1,5,79,R,4,1,1,2,2,2,2,1,8,5000,3,1,0,0,1,2,1,6,,0,  ,10306,162,,2014,                    ,Y,95,06C095,4,,,, , ,56,2,24,                    ,                    ,0,0,0,0,0,0,TRAIN 751 OPERATING WITH LOCOMOTIVE E/2011 AND 5 CARS WAS STRUCK IN THE SIDE BETWEEN CDTX 2011 AND C,"AR CDTX 8302, BY AN AUTOMOBILE AT MP53.7, PEABODY RD CROSSING.",,,,MARTINEZ            ,A,2,2,
,14,3,PCMZ,20140313E,,,    ,          ,14,3,PCMZ,20140313E,,0,754749Y,14,3,13,11,24,AM,22ND STREET,SAN FRANCISCO       ,6,7,,SAN FRANCISCO       ,16TH STREET,0,A,4,1,2,1,1,4,75,2,1,B,1,1,4,1,5,37,R,1,1,1,1,1,3,3,4,8,5000,3,2,0,0,1,2,1,6,,0,  ,102050607,197,,2014,                    ,Y,75,06C075,4,,,, , ,  ,2,223,                    ,                    ,0,0,0,0,0,0,TRAIN 237 OPERATING NORTHBOUND TO SAN FRANCISCO STRUCK AN UNOCCUPIED VEHICLE AT 16TH ST CROSSING.  N,"O INJURIES OR FATALITIES AS A RESULT. LOCOMOTIVE DAMAGE = 3,039, TRACK = 100  DRIVERS AGE UNKNOWN",,,,SYSTEM              ,A,1,1,
,14,5,SCAX,50114,,,    ,          ,14,5,SCAX,50114,,0,750608B,14,5,1,6,10,PM,LANCASTER           ,LOS ANGELES         ,6,7,,LANCASTER           ,AVENUE K            ,,K,3,3,1,1,1,4,85,2,1,3,1,#1,4,1,4,50,R,3,1,1,2,3, ,2,1,8,0, , ,1,0,0,2,1,6,,1,  ,10306,76,,2014,                    ,Y,37,06C037,4,,,, , ,43,1,87,                    ,                    ,1,0,0,0,0,0,"WHILE FIGHTING WITH HIS GIRLFRIEND, PEDESTRIAN WALKED IN FRONT OF TRAIN 226.",,,,,VALLEY              ,A,1,1,
,14,5,SCAX,50714,,,    ,          ,14,5,SCAX,50714,,0,747311S,14,5,7,7,42,AM,COVINA              ,LOS ANGELES         ,6,7,,COVINA              ,GRAND AVE           ,5,A,1,3,2,1,2,4,68,1,1,C,1,MAIN 1,4,1,5,60,E,4,1,1,2,1,3,2,7,8,1500,3,1,0,0,2,2,1,6,,0,  ,10306,58,,2014,                    ,Y,37,06C037,4,,,, , ,18,1,388,                    ,                    ,0,0,0,0,0,0,VEHICLE RAN THROUGH GATE AND STRUCK THE SIDE OF TRAIN 313.,,,,,SAN GABRIEL         ,A,2,2,
,14,8,CSX ,133220,,,    ,          ,14,8,CFRC,XXX       ,,1,622174P,14,8,10,2,30,AM,ORLANDO             ,ORANGE              ,12,3,,ORLANDO             ,VIRGINIA DR         ,,K,4,3,1,1,1,4,78,4,1,1,1,#1 MAIN,2,2,30,20,E,2,1,1,1,1, ,2,1,8,0, , ,0,1,0,2,1,1,,0,  ,10306,237,,2014,                    ,Y,95,12C095,4,,,, , ,46,1,2,                    ,                    ,0,1,0,0,0,0,A76409 STRUCK TRESPASSER AS HE WAS TRYING TO CROSS TRACKS.  TRESPASSER FLED SCENE AND WAS FOUND AT A, LOCAL HOSPITAL BY CITY OF ORLANDO POLICE AND STATED. TRESPASSER TOLD WITNESS HE WAS STRUCK BY A TRA,IN BUT DENIED BEING STRUCK TO POLICE.,,,ORLANDO             ,A,2,2,
,14,8,CSX ,133546,,,    ,          ,14,8,CSX ,133546,,0,625948W,14,8,14,9,50,PM,GAINESVILLE         ,ALACHUA             ,12,3,,GAINESVILLE         ,GRIFFIS LUMBER      ,20,E,2,3,2,1,1,4,81,4,1,1,1,SINGLE MAIN         ,1,2,8,8,E,2, ,1, ,2,2,2,2,8,4000,3,1,0,0,2,2,1,1,,0,  ,80710,80,,2014,                    ,Y,1,12C001,4,,,, , ,60,1,2,                    ,                    ,0,0,0,0,0,0,"DURING SHOVE MOVE, A76514 STRUCK VEHICLE WHICH FAILED TO YIELD THE RIGHT OF WAY.",,,,,DEERHAVEN           ,B,2,2,
