IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,
18,7,CLC,ID180101,,,,,18,7,BNSF,NW0718115,,,18,7,18,4,34,AM,1,0,0,0,0,,LONGVIEW,3.2,53,65,1,1,6,R,301,3,0,7,Y,0278/LVSW INTERCHANG,1,,2,TTZX,856204,51,N,,,0,,2,0,0,0,0,0,0,0,0,0,4,0,69,0,0,0,0,1,0,0,3700,0,M503,,0,0,0,0,M503,2,1,6,31700,,53C015,0,0,0,1,0,1,1,6,35,6,35,1,8,,3,,,,1027,,2018,0,0,0,0,0,0,COWLITZ,15,,,,N,OTH,000-000-000,THE CLC 301 CREW SHOVED OUT 48 CARS TO INTERCHANGE INTO PASS 1 TRACK.  AFTER CUTTING AWAY FROM PASS,"1, THE CREW MOVED WITH 2 MOTORS AND 2 CARS TO CENTER TRACK WHERE THEY BEGAN AN AIR TEST ON 1/2 OF TH","EIR PICKUP (50C).  ONCE COMPLETE, THEY CUT AWAY FROM CENTER TRACK AND MOVED OVER LITE MOTORS TO PASS",2 AND BEGAN AN AIR TEST ON THE REMAINING CUT OF THEIR PICKUP (23C).  ONCE COMPLETED THE CREW DOUBLE,D PASS 2 ON TOP OF CENTER TRACK AND HAD A HOLD OF 73C TO PULL BACK.  AS THEY BEGAN THEIR PULL AT APP,ROXIMATELY 0434 THEY WENT INTO EMERGENCY.  A WALKING INSPECTION OF THE TRAIN REVEALED CAR TTZX 85620,4 DERAILED WITH 1 SET OF TRUCKS ON THE GROUND.  THE CAUSE CODE WAS DETERMINED TO BE OUTSIDE INTERFER,ENCE WITH THE PASS 2/CENTER TRACK SWITCH.  THE CLC CREW DID NOT HANDLE NOR COULD THEY LINE THE SWITC,"H SINCE UPON THEIR ARRIVAL AT INTERCHANGE, LVSW HAD LEFT CARS OCCUPYING THE CENTER TRACK/ PASS 2 SWI",TCH.  IT WAS DETERMINED THROUGH CREW INTERVIEWS AND STATEMENTS THAT THE CLC CREW DID NOT HANDLE THE,CENTER/PASS 2 TRACK SWITCH.,,,,,0,46.117205,-122.939356,2,5,K,,,SEATTLE,
18,4,WIR,1,,,,,18,4,WIR,1,,,18,4,20,12,30,PM,1,0,0,0,0,,PALOUSE,55.2,53,68,2,1,8,E,MPRI,1,1430,1,Y,P & L MAIN,2,0.645,1,NOKL,826801,1,Y,,,0,,3,0,0,0,0,2,0,0,0,0,9,0,0,0,0,5,0,0,0,0,70000,5000,T001,,0,0,0,0,T001,1,2,8,75000,,53C075,0,0,0,1,0,1,0,5,30,5,30,1,8,,3,,,,227,,2018,0,0,0,0,0,0,WHITMAN,75,,,,N,OTH,000-000-000,"MPARMAR120, WAS PULLING NORTH FROM PALOUSE, WA AS ENGINEER WAS PULLING THE HILL AT MP 55 HE FELT AN","ABNORMAL TUG, STOPPED HIS TRAIN, AND WALKED IT AND NOTED THAT CARS WERE DERAILED, HE THEN NOTIFIED H","IS MANAGER, AND DISPATCHER.",,,,,,,,,,,,,0,46.937528,-117.099485,2,2,P,,,PL,
18,8,UP,0818NP025,,,,,18,8,UP,0818NP025,,,18,8,11,8,49,PM,13,0,0,0,0,,PINE BLUFFS,466.55,56,85,4,1,45,E,ICBL,4,10481,1,Y,MAIN LINE 1,4,75.2,1,UP,8535,3,,UP,8535,3,,4,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,270902,0,E73L,,0,0,0,0,E73L,1,4,45,270902,,56C021,0,0,0,1,0,1,0,7,40,7,57,1,6,,1,,,,197,,2018,0,0,0,0,0,0,LARAMIE,21,,,,N,CWR,000-000-000,ICBLB-11 CREW NOTICED THE THIRD LOCOMOTIVE UP8535 WAS HAVING AN ISSUE.  WHEN THEY ARRIVED IN CHEYENN,"E, WY THE MECHANICAL TEAM DISCOVERED UP8535 HAD A PISTON MISSING.  NO DERAILMENT OR TRACK DAMAGE.",,,,,,,,,,,,,,0,41.184243,-104.068328,1,1,Q,,,SIDNEY SUB,
18,12,UP,1218MA017,,,,,18,12,UP,1218MA017,,439839G,18,12,8,10,30,AM,7,0,0,0,0,,EMMET,449.55,5,38,2,3,30,E,CTUN,1,2815,1,Y,SINGLE MAIN TRACK,4,65.3,1,UP,6614,1,,,,0,,2,0,1,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,9518,17000,M302,,0,1,0,1,M302,1,4,30,26518,,05C099,1,0,0,1,0,1,0,5,30,5,30,1,5,,1,,,,211,,2018,0,1,0,0,0,0,NEVADA,99,,,,N,CWR,000-000-000,"CTUNA-07 WAS TRAVELING NORTHBOUND APPROACHING WALNUT ST CROSSING IN EMMETT, AR WHEN THE TRAIN MADE I",MPACT WITH THE TRACTOR TRAILER THAT WAS ON THE CROSSING.  DRIVER HAD EXITED THE VEHICLE PRIOR TO THE,COLLISION.,,,,,,,,,,,,,0,33.728704,-93.473243,1,1,Q,,,LITTLE ROCK SUB,
18,11,UP,1118LK044,,,,,18,11,UP,1118LK044,,,18,11,29,12,30,PM,13,0,0,0,0,,MARION,366.0,5,59,2,2,6,E,MNLM,3,979,1,Y,YARD 201,1,,2,UP,4547,1,,,,0,,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12408,H702,,0,0,0,0,H702,2,1,6,12408,,05C035,0,0,0,1,0,1,0,10,15,10,15,1,5,,1,,,,177,,2018,0,0,0,0,0,0,CRITTENDEN,35,,,,N,OTH,000-000-000,"THE UP CREW ON THE MNLME-29 WENT INTO TRACK 202 TO MAKE A REAR END SET OUT.  WHILE DEPARTING EAST, T",HEY RAN THROUGH THE 201/202 SWITCH WITH THE UP4547.  THE UNIT DID NOT DERAIL.,,,,,,,,,,,,,,0,35.195669,-90.254184,2,5,K,,,MEMPHIS SUB,
18,10,BNSF,HL1018119,,,,,18,10,BNSF,HL1018119,,,18,10,24,7,45,PM,4,0,0,0,0,,BLYTHEVILLE,241.9,5,52,3,1,5,E,RHLA,3,3882,1,Y,3960,1,,2,TBOX,667056,77,N,,,0,,2,0,0,0,0,0,0,0,0,0,21,0,54,0,0,0,0,1,0,0,577,0,H306,,0,0,0,0,H306,2,1,5,83077,,05C093,0,0,0,1,0,1,1,4,45,4,45,1,5,,1,,,,207,,2018,0,0,0,0,0,0,MISSISSIPPI,93,0,0,,N,OTH,000-000-000,R-HLA4211-24 IMPACTED THE R-HLA4201-24 WHILE SHOVING YARD TRACK 3960 DUE TO FAILURE TO CONTROL SHOVE,MOVEMENT. RESULTED IN 1 RAILCAR DERAILED AND DAMAGE TO A LOCOMOTIVE. NO HAZARDOUS MATERIALS WERE RE,LEASED.,,,,,,,,,,,,,0,35.920952,-89.826261,2,5,K,,,RIVER,
18,10,BNSF,HL1018119,,,,,18,10,BNSF,HL1018119,,,18,10,24,7,45,PM,4,0,0,0,0,,BLYTHEVILLE,241.9,5,52,3,1,0,E,RHLA,3,333,1,Y,3960,1,,2,BNSF,2538,1,,,,0,,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,80000,2500,H306,,0,0,0,0,H306,2,1,5,83077,,05C093,0,0,0,1,0,1,1,3,45,3,45,3,5,,1,,,,207,,2018,0,0,0,0,0,0,MISSISSIPPI,93,0,0,,N,OTH,000-000-000,R-HLA4211-24 IMPACTED THE R-HLA4201-24 WHILE SHOVING YARD TRACK 3960 DUE TO FAILURE TO CONTROL SHOVE,MOVEMENT. RESULTED IN 1 RAILCAR DERAILED AND DAMAGE TO A LOCOMOTIVE. NO HAZARDOUS MATERIALS WERE RE,LEASED.,,,,,,,,,,,,,0,35.920952,-89.826261,2,5,K,,,RIVER,
18,8,UP,0818ST008,,,,,18,8,UP,0818ST008,,,18,8,11,10,0,PM,11,0,0,0,0,,SAN SIMON,1122.0,4,85,4,2,45,E,CBTC,4,17160,1,Y,MAIN LINE 1,4,57.8,1,UP,6938,1,,UP,6938,1,,5,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,326281,746,E74L,,0,0,0,0,E74L,1,4,45,327027,,04C003,0,0,0,1,0,2,0,6,,5,59,1,7,,1,,,,265,,2018,0,0,0,0,0,0,COCHISE,3,,,,N,CWR,000-000-000,"AS THE CBTCQ9-08 WAS DESCENDING STEINES, LEAD LOCOMOTIVE UP6938 CAUGHT FIRE IN THE ENGINEROOM.  THE",CREW CONTINUED TO MP 1122.0 AND STOPPED THE TRAIN IN AN AREA ACCESSIBLE TO THE WILLCOX DISTRICT FIRE,"DEPARTMENT, WHO WAS ABLE TO EXTINGUISH THE FIRE.  NO DERAILMENT.",,,,,,,,,,,,,0,32.241742,-109.097363,1,1,Q,,,LORDSBURG SUB,
18,7,UP,0718LA026,,,,,18,7,XCAX,INDUSTRY,,,18,7,25,3,25,PM,1,0,0,0,0,,FONTANA,528.0,6,105,2,1,7,E,SKAB,4,5760,1,Y,INDUSTRY 740,1,,4,PTTX,941921,17,Y,,,0,,4,0,0,0,0,0,0,0,0,0,49,0,0,0,0,4,0,0,0,0,210744,150,M202,,0,0,0,0,M202,4,1,7,210894,,06C071,0,0,0,1,0,1,1,6,24,6,24,1,7,,1,,,,293,,2018,0,0,0,0,0,0,SAN BERNARDINO,71,,,,N,OTH,000-000-000,"AFTER FINISHING THE AIR TEST AND DOUBLING THEIR TRAIN TOGETHER, THE SKABW-25 WAS SHOVING WESTWARD OU",T OF CSI WHEN A LOAD OF PIPE NOT SECURED PROPERLY BY THE CUSTOMER FELL OFF THE CAUSING CAR TO DERAIL,"AND 3 CARS BEHIND IT.  AFTER INVESTIGATION, IT WAS FOUND A STRAP BROKE ON THE LOAD OF PIPES.",,,,,,,,,,,,,0,34.064826,-117.514302,2,5,,,,ALHAMBRA SUB,
18,7,UP,0718LA002,,,,,18,7,UP,0718LA002,,,18,7,1,4,30,PM,1,0,0,0,0,,YERMO,163.1,6,105,2,1,9,R,ISLL,4,5108,7,Y,YARD 402,1,,2,DTTB,744284,14,Y,,,0,,4,0,0,0,0,0,0,0,0,0,77,0,0,0,0,11,0,0,0,0,1463,60584,M405,,0,0,0,0,M405,2,1,9,62047,,06C071,0,0,0,1,0,1,0,5,45,5,45,1,7,,1,,,,429,,2018,0,0,0,0,0,0,SAN BERNARDINO,71,0,0,,N,OTH,000-000-000,ISSLLBX-30 CREW WAS PULLING TRAIN IN FROM THE EAST END OF TRACK 402.  ENGINEER WAS TRAVELING AT 9 MP,"H MADE A MINIMUM SET, FOLLOWED BY AN ADDITIONAL 2 POUND REDUCTION TO STOP THE TRAIN AT THE WEST END",OF TRACK.  THE CONDUCTOR AFTER RESTORING THE MAIN SWITCH AND DERAIL BACK NOTICED SOME CARS WERE LEAN,ING.  HE INSPECTED AND DISCOVERED 11 STACK CARS DERAILED.  CAUSE OF DERAILMENT WAS DUE TO INTERACTIO,N OF LATERAL/VERTICAL FORCES.,,,,,,,,,,,0,34.901868,-116.826896,2,5,,,,CIMA SUB,
18,7,UP,0718LA012,,,,,18,7,UP,0718LA012,,,18,7,8,4,5,AM,12,5,0,0,0,,BLOOMINGTON,535.24,6,90,1,1,1,E,LOQ2,4,10210,1,Y,YARD 020,1,,2,SHPX,463834,85,Y,,,0,,3,0,0,0,0,0,0,0,0,0,78,0,4,0,0,1,0,0,0,0,5027,0,S007,,0,0,0,0,S007,2,1,4,317311,,06C071,0,0,0,1,0,1,1,5,35,5,35,3,7,,1,,,,262,,2018,0,0,0,0,0,0,SAN BERNARDINO,71,,,,N,OTH,000-000-000,RETARDERS FAILED TO CONTROL SPEED ON EXTRA HEAVY CARS CAUSING CARS TO ROLL OUT OF BOWL TRACK 12 AND,COME IN CONTACT WITH TRIM JOB BUILDING TRAIN.  CARS EXITED THE GROUP RETARDER BETWEEN 12 AND 13 MPH,"WHICH WAS DOUBLE THE REQUESTED SPEED, WHICH CAUSED DERAILMENT.",,,,,,,,,,,,,0,34.06681,-117.387553,2,5,K,,,ALHAMBRA SUB,
18,7,UP,0718LA035,,,,,18,7,SCAX,73018,,746055A,18,7,30,8,48,AM,7,6,0,0,0,,LOS ANGELES,17.87,6,90,2,1,36,E,LOF4,3,1078,1,Y,SINGLE MAIN TRACK,4,5.8,1,GMTX,2280,1,,,,0,,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8425,0,M303,M302,0,0,0,0,M303,1,4,36,36821,,06C037,0,0,0,1,0,1,1,2,48,2,48,1,7,,1,,,,214,,2018,0,0,0,0,0,0,LOS ANGELES,37,,,,N,CWR,000-000-000,"THE LOF42-30, LEAD UNIT GMTX2280, STRUCK THE REAR CORNER OF A TRACTOR TRAILER AT THE BRANFORD ST CRO",SSING ON THE METROLINK VALLEY SUB MP 17.87.  NO INJURIES TO THE CREW NOR DRIVER.  SCAX EST SIGNAL DA,"MAGES: $28,396",,,,,,,,,,,,,0,34.239449,-118.393545,1,1,,,,VALLEY SCAX,
18,7,IANR,WLD0709181,,,,,18,7,IANR,WLD0709181,,,18,7,9,3,45,PM,1,0,0,0,0,,WATERLOO,147.8,19,83,2,1,8,E,XIAN,1,1350,1,Y,1-2 LEAD SWITCH,1,,2,IANR,454,1,Y,,,0,,4,0,0,0,0,3,0,0,0,0,0,0,55,0,0,0,0,0,0,0,4161,16015,H704,,0,0,0,0,H704,2,1,8,20176,,19C013,0,0,0,1,0,1,1,,45,,45,1,6,,3,,,,420,,2018,0,0,0,0,0,0,BLACK HAWK,13,,,,N,CWR,000-000-000,CREW HAD SHOVED BACK ON TRACK 2 WITH ONE CAR WITH THE TASK OF COUPLING INTO THE REST OF THEIR TRAIN,"ON THE MAIN TRACK. CREW UNKNOWINGLY SHOVED THROUGH AN IMPROPERLY LINED (MAIN TRACK 1-2) LEAD SWITCH,",COUPLED INTO THEIR TRAIN AND THEN MADE A FORWARD MOVEMENT WITH THE CONSIST. AS THE LEAD LOCOMOTIVES,"TRAVERSED OVER THE SWITCH THAT HAD BEEN RUN THROUGH, THE POINTS GAPED AND THREE LOCOMOTIVES WERE SU",BSEQUENTLY DERAILED.,,,,,,,,,,,0,42.46579,-92.315051,2,5,K,,,WATERLOO,
